date,cycle_number,valley_chg,peak_dhg,flat_chg,peak2_dhg
1/27/21,550,182,152,214,185
1/28/21,552,187,153,215,185
1/29/21,554,181,148,213,183
1/30/21,556,185,151,215,185
1/31/21,558,189,156,216,79
2/1/21,560,120,153,150,120
2/2/21,562,183,149,207,174
2/3/21,564,181,148,170,126
2/4/21,566,181,150,189,152
2/5/21,568,181,151,128,88
2/6/21,570,185,152,215,183
2/7/21,572,184,152,215,184
2/8/21,574,185,152,215,183
2/9/21,574,180,117,1,0
2/10/21,574,114,0,1,0
2/11/21,574,2,0,1,0
2/12/21,574,2,0,1,0
2/13/21,574,2,0,1,0
2/14/21,576,2,106,203,189
2/15/21,578,210,180,204,176
2/16/21,580,209,112,140,188
2/17/21,582,208,150,163,168
2/18/21,584,205,107,131,178
2/19/21,586,203,173,172,149
2/20/21,588,208,178,216,186
2/21/21,590,209,179,181,156
2/22/21,592,210,181,215,185
2/24/21,594,65,164,215,187
2/25/21,596,209,179,114,73
2/26/21,598,208,177,128,92
2/27/21,600,206,177,166,141
2/28/21,602,211,180,211,65
3/1/21,602,72,172,86,19
3/2/21,604,203,171,209,178
3/3/21,606,206,176,132,71
3/4/21,608,208,178,209,180
3/5/21,610,208,179,161,135
3/6/21,612,208,177,94,10
3/7/21,614,204,172,208,97
3/8/21,616,188,175,175,144
3/9/21,618,207,176,165,125
3/10/21,620,209,178,211,181
3/11/21,622,209,179,143,110
3/12/21,624,209,178,198,170
3/13/21,626,209,179,209,180
3/14/21,628,209,179,166,67
3/15/21,630,178,179,180,152
3/16/21,632,207,177,190,164
3/17/21,634,208,178,209,179
3/18/21,636,209,178,209,180
3/19/21,638,209,179,196,167
3/20/21,640,207,177,208,179
3/21/21,642,209,179,210,87
3/22/21,644,172,174,169,146
3/23/21,646,205,176,207,179
3/24/21,648,207,179,206,178
3/25/21,650,207,178,206,178
3/26/21,652,207,179,188,162
3/27/21,654,207,177,207,178
3/28/21,656,208,179,207,82
3/29/21,658,163,176,202,174
3/30/21,660,207,178,208,179
3/31/21,662,208,178,209,180
4/1/21,664,208,178,118,79
4/2/21,666,208,177,194,165
4/3/21,668,208,178,143,112
4/4/21,668,207,0,2,39
4/5/21,670,78,167,201,173
4/6/21,672,205,176,217,187
4/7/21,674,206,177,214,182
4/8/21,676,207,178,218,187
4/9/21,678,209,179,216,86
4/10/21,680,208,179,217,186
4/11/21,682,208,179,218,79
4/12/21,684,147,177,194,165
4/13/21,686,208,179,218,188
4/14/21,688,208,178,188,161
4/15/21,690,207,178,216,14
4/16/21,692,208,178,215,185
4/17/21,694,209,179,216,186
4/18/21,696,208,179,165,70
4/19/21,698,181,177,218,188
4/20/21,700,209,178,216,185
4/21/21,702,207,177,208,178
4/22/21,704,205,175,155,124
4/23/21,706,204,174,202,172
4/24/21,708,206,177,211,180
4/25/21,710,207,178,168,92
4/26/21,712,205,176,197,170
4/27/21,714,207,176,209,178
4/28/21,716,204,175,216,185
5/7/21,716,1,0,1,0
5/13/21,718,200,172,82,40
5/14/21,720,202,172,201,163
5/15/21,722,203,172,201,170
5/16/21,724,202,173,207,61
5/17/21,726,109,169,214,184
5/18/21,728,204,174,216,185
5/19/21,730,204,174,175,142
5/20/21,732,203,173,192,164
5/21/21,734,205,175,207,178
5/22/21,736,203,173,217,186
5/23/21,738,206,177,217,52
5/24/21,740,94,173,217,186
5/25/21,742,204,174,219,188
5/26/21,744,206,142,170,180
5/27/21,746,203,173,215,185
5/28/21,748,204,174,212,180
5/29/21,750,206,177,203,172
5/30/21,752,203,174,217,41
5/31/21,754,83,172,219,187
6/1/21,756,206,178,101,10
6/2/21,758,205,173,218,187
6/3/21,760,203,174,93,34
6/4/21,762,203,173,219,188
6/5/21,764,203,173,219,188
6/6/21,766,207,178,219,43
6/7/21,768,99,175,219,188
6/8/21,770,206,176,220,187
6/9/21,770,1,0,59,50
6/10/21,772,206,174,222,187
6/11/21,774,204,174,216,187
6/12/21,776,207,176,195,170
6/13/21,778,209,178,211,49
6/14/21,778,101,1,12,75
6/15/21,780,166,171,219,190
6/16/21,782,209,178,219,187
6/17/21,784,204,175,184,156
6/18/21,786,204,174,168,142
6/19/21,788,202,172,214,186
6/20/21,790,203,174,212,45
6/21/21,792,106,173,221,53
6/22/21,792,3,0,1,0
6/23/21,792,2,0,65,187
6/24/21,794,208,177,220,188
6/25/21,796,207,177,192,154
6/26/21,798,206,175,219,187
6/27/21,800,205,176,215,120
6/28/21,802,207,177,216,187
6/29/21,804,205,176,208,180
6/30/21,806,205,175,215,183
7/1/21,808,205,175,101,7
7/2/21,810,205,175,162,128
7/3/21,812,205,175,146,99
7/4/21,814,203,174,211,85
7/5/21,816,163,173,131,82
7/6/21,818,203,173,209,179
7/7/21,820,203,174,178,130
7/8/21,822,204,174,70,6
7/9/21,824,204,172,213,181
7/10/21,826,203,174,196,162
7/11/21,828,202,174,202,172
7/12/21,830,204,174,215,184
7/13/21,832,203,173,215,184
7/14/21,834,217,183,214,183
7/15/21,836,214,182,224,149
7/16/21,838,216,184,227,148
7/17/21,840,215,182,225,149
